name,artists_names,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
Flowers,Miley Cyrus,100,2023-01-13,0.707,0.681,0.0,-4.325,1.0,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,92,pop,20250106,calm
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,96,2023-01-11,0.778,0.632,2.0,-5.6,0.0,0.0493,0.274,0.0,0.0915,0.498,122.104,218289,4,88,argentine hip hop,10050089,sad
TQG,KAROL G,96,2023-02-24,0.72,0.63,4.0,-3.547,0.0,0.277,0.673,0.0,0.0936,0.607,179.974,199440,4,93,reggaeton,33856064,calm
Boy's a liar Pt. 2,PinkPantheress,96,2023-02-03,0.696,0.809,5.0,-8.254,1.0,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4,84,,1928246,happy
Die For You - Remix,The Weeknd,95,2023-02-24,0.531,0.525,1.0,-6.5,0.0,0.0671,0.232,0.0,0.441,0.502,66.9,232857,4,98,canadian contemporary r&b,62165751,sad
Calm Down (with Selena Gomez),Rema,94,2022-08-25,0.801,0.806,11.0,-5.206,1.0,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,4,82,nigerian pop,2104953,energetic
I'm Good (Blue),David Guetta,94,2022-08-26,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,4,89,big room,25778023,energetic
Here With Me,d4vd,93,2022-09-22,0.574,0.469,4.0,-8.209,1.0,0.0254,0.534,9.21e-05,0.128,0.288,132.023,242485,4,82,bedroom pop,909208,sad
Anti-Hero,Taylor Swift,93,2022-10-21,0.637,0.643,4.0,-6.571,1.0,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,4,100,pop,71194980,sad
La Bachata,Manuel Turizo,93,2022-05-26,0.835,0.679,7.0,-5.329,0.0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,4,85,colombian pop,11848110,calm
Kill Bill,SZA,92,2022-12-09,0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,153947,4,93,pop,11705818,sad
Unholy (feat. Kim Petras),Sam Smith,92,2022-09-22,0.714,0.472,2.0,-7.375,1.0,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,4,88,pop,22222730,sad
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,92,2022-04-22,0.551,0.55,10.0,-5.339,1.0,0.0286,0.777,0.0,0.202,0.342,101.19,176440,3,81,gen z singer-songwriter,552521,sad
OMG,NewJeans,92,2023-01-02,0.804,0.771,9.0,-4.067,0.0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,4,84,k-pop,2902877,happy
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,92,2022-07-06,0.621,0.782,2.0,-5.548,1.0,0.044,0.0125,0.033,0.23,0.55,128.033,198938,4,88,argentine hip hop,10050089,energetic
I Ain't Worried,OneRepublic,91,2022-05-13,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,85,piano rock,15330100,happy
