Rank,Title,Artist,Featuring,Last,Peak,Weeks,Released,Age,Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration
1,A Bar Song (Tipsy),Shaboozey,,1,1,19,2024-04-12,20,91,0.722,0.709,9,-4.95,0.0273,0.0633,0,0.0804,0.604,81.012,171291
2,I Had Some Help,Post Malone,Morgan Wallen,2,1,15,2024-05-10,16,92,0.638,0.855,7,-4.86,0.0264,0.00757,0,0.245,0.731,127.986,178205
3,Die With A Smile,Lady Gaga & Bruno Mars,,-0,3,1,2024-08-16,2,94,0.521,0.592,6,-7.777,0.0304,0.308,0,0.122,0.535,157.969,251667
4,Not Like Us,Kendrick Lamar,,3,1,16,2024-05-04,17,95,0.898,0.472,1,-7.001,0.0776,0.0107,0,0.141,0.214,101.061,274192
5,Birds Of A Feather,Billie Eilish,,5,5,14,2024-05-17,15,100,0.747,0.507,2,-10.171,0.0358,0.2,0.0608,0.117,0.438,104.978,210373
6,"Good Luck, Babe!",Chappell Roan,,7,6,20,2024-04-05,21,97,0.7,0.582,11,-5.96,0.0356,0.0502,0,0.0881,0.785,116.712,218423
7,Espresso,Sabrina Carpenter,,4,3,19,2024-04-12,20,98,0.701,0.76,0,-5.478,0.0285,0.107,0.0000654,0.185,0.69,103.969,175459
8,Million Dollar Baby,Tommy Richman,,6,2,17,2024-04-26,18,94,0.852,0.697,1,-5.52,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155151
9,Please Please Please,Sabrina Carpenter,,8,1,11,2024-06-06,12,97,0.669,0.586,9,-6.073,0.054,0.274,0,0.104,0.579,107.071,186365
10,Lose Control,Teddy Swims,,9,1,54,2023-06-23,62,84,0.561,0.604,9,-4.409,0.0337,0.199,0.000019,0.104,0.242,159.92,210688
11,Too Sweet,Hozier,,10,1,22,2024-03-22,23,82,0.741,0.62,10,-5.505,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424
12,Beautiful Things,Benson Boone,,11,2,31,2024-01-18,32,89,0.472,0.471,10,-5.692,0.0603,0.151,0,0.14,0.219,105.029,180304
13,Pour Me A Drink,Post Malone,Blake Shelton,30,12,9,2024-08-15,2,77,0.582,0.909,11,-3.834,0.0342,0.00191,0,0.308,0.868,119.033,195122
14,Cowgirls,Morgan Wallen,ERNEST,12,12,36,2023-03-03,78,86,0.621,0.779,8,-3.777,0.0361,0.216,0.00000862,0.165,0.399,172.037,181621
15,Ain't No Love In Oklahoma,Luke Combs,,13,13,14,2024-07-19,6,71,0.488,0.769,5,-5.835,0.0289,0.00802,0.00881,0.107,0.267,142.071,210950
16,Pink Skies,Zach Bryan,,14,6,13,2024-05-24,14,88,0.525,0.488,0,-6.909,0.038,0.191,0.0000514,0.135,0.253,84.999,194920
17,Guy For That,Post Malone,Luke Combs,36,17,4,2024-07-26,5,84,0.608,0.914,8,-4.116,0.0721,0.00545,0,0.137,0.511,120.01,164011
18,Lies Lies Lies,Morgan Wallen,,15,7,7,2024-07-05,8,87,0.486,0.702,1,-5.758,0.0298,0.239,0.0000754,0.0912,0.382,81.053,198068
19,Hot To Go!,Chappell Roan,,16,16,12,2023-09-22,49,91,0.742,0.757,6,-4.981,0.0421,0.0187,0,0.305,0.957,139.982,184841
20,Miles On It,Marshmello & Kane Brown,,19,18,16,2024-05-03,17,84,0.634,0.761,5,-4.752,0.0472,0.00537,0,0.549,0.785,129.963,168355
21,I Remember Everything,Zach Bryan,Kacey Musgraves,17,1,52,2023-08-25,53,89,0.429,0.453,0,-7.746,0.0459,0.554,0.000002,0.102,0.155,77.639,227195
22,Austin,Dasha,,18,18,24,2023-11-16,41,65,0.764,0.678,0,-6.161,0.058,0.494,0.00000191,0.107,0.712,114.939,171782
